"signature","mu","mu_low","mu_high","best_cosmic","cosine"
"SigN08",741.090389589823,649.084541475421,846.873826523562,"SBS13",0.859071553623318
"SigN01",569.876426276111,492.596863595971,658.697096677718,"SBS5",0.772963622237439
"SigN06",385.568788747944,326.636776217574,459.114119244946,"SBS3",0.881241866605325
"SigN07",367.175421679145,319.691155939726,420.022177662949,"SBS2",0.998135292379426
"SigN02",266.583136716838,223.902201002481,316.46092370017,"SBS40a",0.807820533289108
"SigN10",229.723909797336,199.546110119836,262.853451675044,"SBS1",0.98290386608366
"SigN09",228.062695216903,183.275032082676,273.655722813197,"SBS8",0.884369327025816
"SigN03",225.599547942855,193.376083347289,261.829662716789,"SBS18",0.918774523862522
"SigN12",69.641397842829,60.3349286451784,80.4423265079761,"SBS10b",0.817601609579103
"SigN11",40.8663976497002,33.3047780980809,50.0572479222397,"SBS98",0.683315388028442
"SigN04",0.0010007166528388,0.000832748521940879,0.00120011314534469,"SBS3",0.868704858423402
"SigN05",0.000999165250308142,0.000833027639076506,0.00119599484853909,"SBS3",0.867841434490036
