"signature","n_scenarios","mean_cosine","sd_cosine","best_match","n_match"
"SigN01",7,0.862404144733947,0.00585402731908764,"SBS13",7
"SigN02",7,0.998221406506784,0.000164724993803834,"SBS2",7
"SigN03",7,0.760316236755289,0.0187060977837502,"SBS5",7
"SigN04",7,0.784956761845035,0.0184846326444814,"SBS23",6
"SigN05",4,0.852890520183476,0.0403224595426694,"SBS3",4
"SigN06",7,0.88304978952999,0.0549769838873432,"SBS8",7
"SigN07",7,0.953762982439054,0.0752216739220891,"SBS1",7
"SigN08",7,0.968327822340198,0.00538574497257186,"SBS18",7
"SigN09",7,0.834272833785763,0.00394264593098002,"SBS10b",7
"SigN10",7,0.676586292706178,0.0407380523214406,"SBS98",6
"Extra01",6,0.83718661885169,0.0107020009093774,"SBS3",6
"Extra02",6,0.83884845147029,0.0467959096683154,"SBS39",4
"Extra03",1,0.710711228009108,0,"SBS6",1
