"scenario","signature","partner","cosine","present","mu","m"
"reference","SigN01","SigN01",1,TRUE,723.617962382087,157007
"reference","SigN02","SigN02",1,TRUE,368.62566615991,102425
"reference","SigN03","SigN03",1,TRUE,587.465852281539,149663
"reference","SigN04","SigN04",1,TRUE,298.443395719598,64954
"reference","SigN05","SigN05",1,TRUE,451.498238492225,113668
"reference","SigN06","SigN06",1,TRUE,238.548044665918,32139
"reference","SigN07","SigN07",1,TRUE,213.036043850025,50359
"reference","SigN08","SigN08",1,TRUE,118.128521375562,21617
"reference","SigN09","SigN09",1,TRUE,57.7776002000868,10013
"reference","SigN10","SigN10",1,TRUE,34.4148361170116,5259
"reference","Extra01",NA,NA,FALSE,NA,NA
"reference","Extra02",NA,NA,FALSE,NA,NA
"reference","Extra03",NA,NA,FALSE,NA,NA
"K15","SigN01","SigN01",0.999904572128925,TRUE,737.349759337331,163973
"K15","SigN02","SigN04",0.999934728281676,TRUE,349.817249118842,96757
"K15","SigN03","SigN02",0.983818719764882,TRUE,504.251061160115,128266
"K15","SigN04","SigN06",0.986712471004918,TRUE,209.518008932167,48320
"K15","SigN05","SigN03",0.93702422013151,TRUE,378.446346282433,93375
"K15","SigN06","SigN05",0.946714366965843,TRUE,232.547568682946,49118
"K15","SigN07","SigN09",0.705366576978537,TRUE,121.566603676576,25772
"K15","SigN08","SigN11",0.991587926254211,TRUE,66.4840473144775,13979
"K15","SigN09","SigN12",0.998657509077344,TRUE,57.9291377806259,10037
"K15","SigN10","SigN13",0.886393299956109,TRUE,13.6456922719114,2890
"K15","Extra01","SigN07",1,TRUE,153.774103995626,24776
"K15","Extra02","SigN08",1,TRUE,146.703165283291,24434
"K15","Extra03","SigN10",1,TRUE,116.509981890228,25407
"K20","SigN01","SigN01",0.99970775080932,TRUE,736.137220680149,162554
"K20","SigN02","SigN04",0.999985648816095,TRUE,351.463819830785,94916
"K20","SigN03","SigN02",0.996649847383528,TRUE,637.407390545636,157518
"K20","SigN04","SigN03",0.988643573532698,TRUE,413.118578193982,99416
"K20","SigN05",NA,NA,FALSE,NA,NA
