"state","signature","beta","ts_signature","cosine","ts_logratio","pair_label"
"TssA","SigN01",-1.68967352704391,"TS01",0.946734980344947,-3.27050372665956,"SigN01 ~ TS01  (0.95)"
"TssAFlnk","SigN01",-1.24769670319995,"TS01",0.946734980344947,-9.39577026125462,"SigN01 ~ TS01  (0.95)"
"TxFlnk","SigN01",-0.413688953120237,"TS01",0.946734980344947,-9.09655782706123,"SigN01 ~ TS01  (0.95)"
"Tx","SigN01",-1.42586341849203,"TS01",0.946734980344947,-2.30264296810004,"SigN01 ~ TS01  (0.95)"
"TxWk","SigN01",-0.832566756530792,"TS01",0.946734980344947,-1.06539534136038,"SigN01 ~ TS01  (0.95)"
"EnhG","SigN01",-1.28537314932248,"TS01",0.946734980344947,-3.90316474605965,"SigN01 ~ TS01  (0.95)"
"Enh","SigN01",-1.04252122128456,"TS01",0.946734980344947,-1.35022816741765,"SigN01 ~ TS01  (0.95)"
"ZNF.Rpts","SigN01",-0.599848044319175,"TS01",0.946734980344947,-1.12000678475696,"SigN01 ~ TS01  (0.95)"
"Het","SigN01",0.442858347595957,"TS01",0.946734980344947,0.458884226795227,"SigN01 ~ TS01  (0.95)"
"TssBiv","SigN01",-1.01111415113128,"TS01",0.946734980344947,-10.5782311059444,"SigN01 ~ TS01  (0.95)"
"BivFlnk","SigN01",-0.270977165666595,"TS01",0.946734980344947,-11.5823047253897,"SigN01 ~ TS01  (0.95)"
"EnhBiv","SigN01",-1.15968395783701,"TS01",0.946734980344947,-4.47335923054897,"SigN01 ~ TS01  (0.95)"
"ReprPC","SigN01",-1.96266632191414,"TS01",0.946734980344947,-8.69874164519657,"SigN01 ~ TS01  (0.95)"
"ReprPCWk","SigN01",-0.674869244250443,"TS01",0.946734980344947,-0.795089964067611,"SigN01 ~ TS01  (0.95)"
"TssA","SigN02",-0.349583501043976,"TS02",0.998776508699654,-1.74756167688846,"SigN02 ~ TS02  (1.00)"
"TssAFlnk","SigN02",-0.0531531728158839,"TS02",0.998776508699654,-0.229784082734008,"SigN02 ~ TS02  (1.00)"
"TxFlnk","SigN02",-0.0506895231594468,"TS02",0.998776508699654,-0.207701818200577,"SigN02 ~ TS02  (1.00)"
"Tx","SigN02",-0.186481721801619,"TS02",0.998776508699654,-0.105754354256407,"SigN02 ~ TS02  (1.00)"
"TxWk","SigN02",-0.155156079496796,"TS02",0.998776508699654,-0.105348646782174,"SigN02 ~ TS02  (1.00)"
"EnhG","SigN02",-0.105164853249956,"TS02",0.998776508699654,-0.119235979572382,"SigN02 ~ TS02  (1.00)"
"Enh","SigN02",-0.102002558842087,"TS02",0.998776508699654,-0.044022099783259,"SigN02 ~ TS02  (1.00)"
"ZNF.Rpts","SigN02",0.00385437209567543,"TS02",0.998776508699654,0.0220310895153344,"SigN02 ~ TS02  (1.00)"
"Het","SigN02",0.268668782910211,"TS02",0.998776508699654,0.274566221396637,"SigN02 ~ TS02  (1.00)"
"TssBiv","SigN02",-0.181383314946898,"TS02",0.998776508699654,-10.2203962897392,"SigN02 ~ TS02  (1.00)"
"BivFlnk","SigN02",0.00616711310485948,"TS02",0.998776508699654,-0.508814186573646,"SigN02 ~ TS02  (1.00)"
"EnhBiv","SigN02",-0.142445045001524,"TS02",0.998776508699654,-1.04336180174305,"SigN02 ~ TS02  (1.00)"
"ReprPC","SigN02",-0.367558443084698,"TS02",0.998776508699654,-0.660091657380627,"SigN02 ~ TS02  (1.00)"
"ReprPCWk","SigN02",-0.159906111974501,"TS02",0.998776508699654,-0.155378595677004,"SigN02 ~ TS02  (1.00)"
"TssA","SigN03",-0.0638881340845514,"TS03",0.998109376523906,-0.296060192602759,"SigN03 ~ TS03  (1.00)"
"TssAFlnk","SigN03",0.140208645388479,"TS03",0.998109376523906,0.13710190716825,"SigN03 ~ TS03  (1.00)"
"TxFlnk","SigN03",-0.043222392070089,"TS03",0.998109376523906,-0.334756274569705,"SigN03 ~ TS03  (1.00)"
"Tx","SigN03",0.120790256347204,"TS03",0.998109376523906,0.0310958153432545,"SigN03 ~ TS03  (1.00)"
"TxWk","SigN03",0.121237081020975,"TS03",0.998109376523906,0.040955899180337,"SigN03 ~ TS03  (1.00)"
"EnhG","SigN03",0.119365540785575,"TS03",0.998109376523906,0.104181533522156,"SigN03 ~ TS03  (1.00)"
"Enh","SigN03",0.0997142817331459,"TS03",0.998109376523906,0.0184545720355407,"SigN03 ~ TS03  (1.00)"
"ZNF.Rpts","SigN03",0.185393648446776,"TS03",0.998109376523906,0.267214409057582,"SigN03 ~ TS03  (1.00)"
"Het","SigN03",-0.108583965120137,"TS03",0.998109376523906,-0.0962126508668005,"SigN03 ~ TS03  (1.00)"
"TssBiv","SigN03",-0.145661853504863,"TS03",0.998109376523906,-1.41436765491447,"SigN03 ~ TS03  (1.00)"
"BivFlnk","SigN03",-0.0288965380176958,"TS03",0.998109376523906,-3.0641863925973,"SigN03 ~ TS03  (1.00)"
"EnhBiv","SigN03",-0.135444917084721,"TS03",0.998109376523906,-0.473047628688088,"SigN03 ~ TS03  (1.00)"
"ReprPC","SigN03",-0.135418015865683,"TS03",0.998109376523906,-0.245173395094272,"SigN03 ~ TS03  (1.00)"
"ReprPCWk","SigN03",0.0867752395857112,"TS03",0.998109376523906,0.00138870834453342,"SigN03 ~ TS03  (1.00)"
"TssA","SigN04",-0.529983720214446,"TS04",0.970625020366573,-0.516984047074108,"SigN04 ~ TS04  (0.97)"
"TssAFlnk","SigN04",-0.267454728513762,"TS04",0.970625020366573,-0.0828076424908136,"SigN04 ~ TS04  (0.97)"
"TxFlnk","SigN04",-0.04785140858387,"TS04",0.970625020366573,-0.324934265095606,"SigN04 ~ TS04  (0.97)"
"Tx","SigN04",-0.0139739183959155,"TS04",0.970625020366573,0.0137365097917298,"SigN04 ~ TS04  (0.97)"
"TxWk","SigN04",-0.102111344248451,"TS04",0.970625020366573,-0.135559004244373,"SigN04 ~ TS04  (0.97)"
"EnhG","SigN04",-0.101376817291004,"TS04",0.970625020366573,-0.0137508834393641,"SigN04 ~ TS04  (0.97)"
"Enh","SigN04",-0.250170471169335,"TS04",0.970625020366573,-0.239865905652572,"SigN04 ~ TS04  (0.97)"
"ZNF.Rpts","SigN04",0.064549805303282,"TS04",0.970625020366573,0.152156708895133,"SigN04 ~ TS04  (0.97)"
"Het","SigN04",0.119637677351802,"TS04",0.970625020366573,0.177582147266521,"SigN04 ~ TS04  (0.97)"
"TssBiv","SigN04",-0.360773029345837,"TS04",0.970625020366573,-10.6351576347948,"SigN04 ~ TS04  (0.97)"
"BivFlnk","SigN04",-0.0822393051826943,"TS04",0.970625020366573,-11.4323072683069,"SigN04 ~ TS04  (0.97)"
"EnhBiv","SigN04",-0.495676231974079,"TS04",0.970625020366573,-1.92763741410616,"SigN04 ~ TS04  (0.97)"
"ReprPC","SigN04",-1.32121520800749,"TS04",0.970625020366573,-8.46523814054969,"SigN04 ~ TS04  (0.97)"
"ReprPCWk","SigN04",-0.439844395593852,"TS04",0.970625020366573,-0.503275435711376,"SigN04 ~ TS04  (0.97)"
"TssA","SigN05",-0.391586717456317,"TS05",0.996510518994187,-0.677284618355669,"SigN05 ~ TS05  (1.00)"
"TssAFlnk","SigN05",-0.32866410907669,"TS05",0.996510518994187,-0.872887253067192,"SigN05 ~ TS05  (1.00)"
"TxFlnk","SigN05",-0.0546390834597052,"TS05",0.996510518994187,-0.690660507022933,"SigN05 ~ TS05  (1.00)"
"Tx","SigN05",-0.649459251614861,"TS05",0.996510518994187,-0.70327833296656,"SigN05 ~ TS05  (1.00)"
"TxWk","SigN05",-0.251280834423022,"TS05",0.996510518994187,-0.264500918588416,"SigN05 ~ TS05  (1.00)"
"EnhG","SigN05",-0.493145125367019,"TS05",0.996510518994187,-0.789365065320944,"SigN05 ~ TS05  (1.00)"
"Enh","SigN05",-0.405232988975248,"TS05",0.996510518994187,-0.469524539106297,"SigN05 ~ TS05  (1.00)"
"ZNF.Rpts","SigN05",-0.284656927346066,"TS05",0.996510518994187,-0.665691620925809,"SigN05 ~ TS05  (1.00)"
"Het","SigN05",0.501358738692329,"TS05",0.996510518994187,0.487088174207792,"SigN05 ~ TS05  (1.00)"
"TssBiv","SigN05",0.0587378629471766,"TS05",0.996510518994187,0.335617558542424,"SigN05 ~ TS05  (1.00)"
"BivFlnk","SigN05",0.0617736280081513,"TS05",0.996510518994187,0.363848321620186,"SigN05 ~ TS05  (1.00)"
"EnhBiv","SigN05",0.00591072199262307,"TS05",0.996510518994187,0.111665085200142,"SigN05 ~ TS05  (1.00)"
"ReprPC","SigN05",0.875579826306812,"TS05",0.996510518994187,1.01788604164778,"SigN05 ~ TS05  (1.00)"
"ReprPCWk","SigN05",0.369527185534432,"TS05",0.996510518994187,0.402041095598717,"SigN05 ~ TS05  (1.00)"
"TssA","SigN06",0.0106140241708459,"TS06",0.977754213085795,0.313707414677547,"SigN06 ~ TS06  (0.98)"
"TssAFlnk","SigN06",0.0268375973222732,"TS06",0.977754213085795,0.48461328901561,"SigN06 ~ TS06  (0.98)"
"TxFlnk","SigN06",0.0119466335642838,"TS06",0.977754213085795,0.875449745350342,"SigN06 ~ TS06  (0.98)"
"Tx","SigN06",-0.0612255791249403,"TS06",0.977754213085795,0.293344389642338,"SigN06 ~ TS06  (0.98)"
"TxWk","SigN06",0.0963377748288969,"TS06",0.977754213085795,0.285675805334617,"SigN06 ~ TS06  (0.98)"
"EnhG","SigN06",-0.0506094504156458,"TS06",0.977754213085795,0.417612840738355,"SigN06 ~ TS06  (0.98)"
"Enh","SigN06",0.449483888815482,"TS06",0.977754213085795,0.647381713390035,"SigN06 ~ TS06  (0.98)"
"ZNF.Rpts","SigN06",-0.0502774833962125,"TS06",0.977754213085795,0.18778477517668,"SigN06 ~ TS06  (0.98)"
"Het","SigN06",-0.0728499712826916,"TS06",0.977754213085795,-0.184765227316411,"SigN06 ~ TS06  (0.98)"
"TssBiv","SigN06",-0.117398711312719,"TS06",0.977754213085795,-9.46786490503137,"SigN06 ~ TS06  (0.98)"
"BivFlnk","SigN06",0.0133817749351122,"TS06",0.977754213085795,1.06494371959269,"SigN06 ~ TS06  (0.98)"
"EnhBiv","SigN06",0.00092285179039901,"TS06",0.977754213085795,0.635345763312197,"SigN06 ~ TS06  (0.98)"
"ReprPC","SigN06",1.01305830380607,"TS06",0.977754213085795,1.27299100082336,"SigN06 ~ TS06  (0.98)"
"ReprPCWk","SigN06",0.857320305193706,"TS06",0.977754213085795,0.922630085814136,"SigN06 ~ TS06  (0.98)"
"TssA","SigN07",-0.590099765357443,"TS07",0.976255865817874,-2.1344180668674,"SigN07 ~ TS07  (0.98)"
"TssAFlnk","SigN07",-0.278513305720265,"TS07",0.976255865817874,-1.4262100071523,"SigN07 ~ TS07  (0.98)"
"TxFlnk","SigN07",-0.00509989202079666,"TS07",0.976255865817874,-0.371489007977053,"SigN07 ~ TS07  (0.98)"
"Tx","SigN07",-0.883784730042391,"TS07",0.976255865817874,-1.25354199926198,"SigN07 ~ TS07  (0.98)"
"TxWk","SigN07",-0.748930717500257,"TS07",0.976255865817874,-0.819348872456069,"SigN07 ~ TS07  (0.98)"
"EnhG","SigN07",-0.440810268722828,"TS07",0.976255865817874,-1.382510808105,"SigN07 ~ TS07  (0.98)"
"Enh","SigN07",-0.56004538972605,"TS07",0.976255865817874,-0.882587340701632,"SigN07 ~ TS07  (0.98)"
"ZNF.Rpts","SigN07",-0.145472087831338,"TS07",0.976255865817874,-0.479842139443298,"SigN07 ~ TS07  (0.98)"
"Het","SigN07",0.692661849311194,"TS07",0.976255865817874,0.672921093620645,"SigN07 ~ TS07  (0.98)"
"TssBiv","SigN07",-0.115214105401159,"TS07",0.976255865817874,-1.15537431432684,"SigN07 ~ TS07  (0.98)"
"BivFlnk","SigN07",-0.0129955301823581,"TS07",0.976255865817874,-0.608744778415383,"SigN07 ~ TS07  (0.98)"
"EnhBiv","SigN07",-0.1849693092415,"TS07",0.976255865817874,-2.14825273312612,"SigN07 ~ TS07  (0.98)"
"ReprPC","SigN07",-0.488702396454333,"TS07",0.976255865817874,-1.35193887462592,"SigN07 ~ TS07  (0.98)"
"ReprPCWk","SigN07",-0.411653728138124,"TS07",0.976255865817874,-0.514323843962974,"SigN07 ~ TS07  (0.98)"
"TssA","SigN08",0.108241381470151,"TS08",0.609533755083805,-1.45563016276747,"SigN08 ~ TS08  (0.61)"
"TssAFlnk","SigN08",0.00602653799759197,"TS08",0.609533755083805,-1.29444900622718,"SigN08 ~ TS08  (0.61)"
"TxFlnk","SigN08",0.0165466164838872,"TS08",0.609533755083805,-0.50322705660789,"SigN08 ~ TS08  (0.61)"
"Tx","SigN08",0.214882848219522,"TS08",0.609533755083805,-0.403149607751055,"SigN08 ~ TS08  (0.61)"
"TxWk","SigN08",0.192994341560376,"TS08",0.609533755083805,-0.293797021419233,"SigN08 ~ TS08  (0.61)"
"EnhG","SigN08",0.225315976602729,"TS08",0.609533755083805,-0.388405266908654,"SigN08 ~ TS08  (0.61)"
"Enh","SigN08",0.374678304604697,"TS08",0.609533755083805,-0.606247395128976,"SigN08 ~ TS08  (0.61)"
"ZNF.Rpts","SigN08",0.027736174757437,"TS08",0.609533755083805,-0.0707851250683094,"SigN08 ~ TS08  (0.61)"
"Het","SigN08",-0.0674246422319245,"TS08",0.609533755083805,0.157651005675304,"SigN08 ~ TS08  (0.61)"
"TssBiv","SigN08",-0.00797329611575835,"TS08",0.609533755083805,-1.25324492025842,"SigN08 ~ TS08  (0.61)"
"BivFlnk","SigN08",-0.0032941492917143,"TS08",0.609533755083805,-11.5259817754283,"SigN08 ~ TS08  (0.61)"
"EnhBiv","SigN08",-0.0246502580385115,"TS08",0.609533755083805,-9.53330404130133,"SigN08 ~ TS08  (0.61)"
"ReprPC","SigN08",-0.105075698175004,"TS08",0.609533755083805,-9.1414135470478,"SigN08 ~ TS08  (0.61)"
"ReprPCWk","SigN08",-0.0685874730281307,"TS08",0.609533755083805,-0.601942468703107,"SigN08 ~ TS08  (0.61)"
"TssA","SigN09",3.34387149093331,"TS09",0.982884998224468,4.04335166261621,"SigN09 ~ TS09  (0.98)"
"TssAFlnk","SigN09",2.31647264257203,"TS09",0.982884998224468,3.29865747811901,"SigN09 ~ TS09  (0.98)"
"TxFlnk","SigN09",0.235323207124864,"TS09",0.982884998224468,2.91358961904762,"SigN09 ~ TS09  (0.98)"
"Tx","SigN09",-0.624265182160423,"TS09",0.982884998224468,-0.0960569252661019,"SigN09 ~ TS09  (0.98)"
"TxWk","SigN09",0.513774634316033,"TS09",0.982884998224468,1.1910352979204,"SigN09 ~ TS09  (0.98)"
"EnhG","SigN09",0.303516031910504,"TS09",0.982884998224468,1.53938529002353,"SigN09 ~ TS09  (0.98)"
"Enh","SigN09",1.85984976781142,"TS09",0.982884998224468,2.65128303257569,"SigN09 ~ TS09  (0.98)"
"ZNF.Rpts","SigN09",-0.126587493597175,"TS09",0.982884998224468,-2.81613350062034,"SigN09 ~ TS09  (0.98)"
"Het","SigN09",0.228625335323576,"TS09",0.982884998224468,0.466790461552063,"SigN09 ~ TS09  (0.98)"
"TssBiv","SigN09",3.14674569975394,"TS09",0.982884998224468,4.20303582223723,"SigN09 ~ TS09  (0.98)"
"BivFlnk","SigN09",0.190345090094298,"TS09",0.982884998224468,3.43812158836144,"SigN09 ~ TS09  (0.98)"
"EnhBiv","SigN09",3.10673335531795,"TS09",0.982884998224468,4.00386978979914,"SigN09 ~ TS09  (0.98)"
"ReprPC","SigN09",2.89977115135486,"TS09",0.982884998224468,3.46483436687111,"SigN09 ~ TS09  (0.98)"
"ReprPCWk","SigN09",1.27915736020393,"TS09",0.982884998224468,1.89816593757048,"SigN09 ~ TS09  (0.98)"
"TssA","SigN10",5.37833251217587,"TS10",0.860388013480624,5.12291761987168,"SigN10 ~ TS10  (0.86)"
"TssAFlnk","SigN10",3.76110250127571,"TS10",0.860388013480624,3.8286314442985,"SigN10 ~ TS10  (0.86)"
"TxFlnk","SigN10",-0.000542866201380273,"TS10",0.860388013480624,1.73868603571447,"SigN10 ~ TS10  (0.86)"
"Tx","SigN10",-1.00986854567744,"TS10",0.860388013480624,-5.33434920356767,"SigN10 ~ TS10  (0.86)"
"TxWk","SigN10",-1.0796479963153,"TS10",0.860388013480624,-0.250541283797849,"SigN10 ~ TS10  (0.86)"
