"signature","best_match","cosine","mu"
"SigN01","SBS8",0.872262439569553,612.901252434971
"SigN02","SBS2",0.991182694194356,601.06175281453
"SigN03","SBS13",0.973784837750075,542.153110700705
"SigN04","SBS5",0.921112433403992,526.187922729167
"SigN05","SBS1",0.947639013156876,307.886105853012
"SigN06","SBS3",0.876884677997112,238.776664950358
"SigN07","SBS36",0.938923847538665,117.559000924951
"SigN08","SBS39",0.856491109987048,85.7401767146403
"SigN09","SBS98",0.619657959056475,47.9932541494021
"SigN10","SBS10b",0.854370808918503,11.0349935296076
"SigN11","SBS3",0.868271062179432,0.000498102147135465
"SigN12","SBS3",0.868271062179432,0.000498102147135465
