"model","covariate","in_sample","out_sample"
0,"No covariates",1.43896698721254,1.45808776160002
1,"+H3K9me3",1.39935005586497,1.44838050876698
2,"+RepliTime",1.38549071436078,1.43448320987267
3,"+H3K27me3",1.38523983441267,1.42719894414845
4,"+H3K4me1",1.38466539386863,1.42620625292458
5,"+Methyl",1.38192476581451,1.42677594867769
6,"+GC",1.38292094365075,1.42648308151555
7,"+H3K36me3",1.38268837312136,1.42509181174879
8,"+CTCF",1.38263314455365,1.42496880425339
9,"+NuclOccup",1.38102671874546,1.42505189583586
10,"+H3K4me3",1.38148986477231,1.42501487366997
11,"+H3K27ac",1.38151954551458,1.4248104243172
