"signature","mu_Breast80","mu_ICGC","assigned_Breast80","assigned_ICGC"
"SBS1",182.402505967896,182.636806700018,33364,48771
"SBS2",219.04626142639,566.572740310615,39090,140764
"SBS3",299.292084780691,562.945928334299,53377,158336
"SBS5",297.391959825612,442.279672408644,42039,80522
"SBS13",250.66168178073,532.749734143714,42039,129007
"SBS6",0.00049631515048698,0.000498102165546335,0,0
"SBS8",125.033296615173,184.277631461337,14288,34645
"SBS20",0.000496315170691031,0.000498102204917946,0,0
"SBS26",82.9657984950526,54.9366039900701,12616,8738
"SBS17a",0.000496315041047788,0.000498102101996528,0,0
"SBS17b",6.65179753874268,9.37137697283504,1051,1991
"SBS18",62.6534340841919,114.852194205593,7264,18972
"SBS30",26.2209729793015,41.6985298019287,2437,4785
"SBS40a",368.549594980242,398.232906547749,66290,80573
"SBS44",63.8379352818401,0.000498102197337703,9581,0
