"Model","Scenario2","time_mean","time_sd","iter_mean","iter_sd","Kest_mean","Kest_sd","F1_mean","F1_sd","rmse_sig_mean","rmse_sig_sd","rmse_theta_mean","rmse_theta_sd","rmse_Betas_mean","rmse_Betas_sd","rmse_lambda_mean","rmse_lambda_sd","effectiveBetas_mean","effectiveBetas_sd","effectiveSigs_mean","effectiveSigs_sd","effectiveTheta_mean","effectiveTheta_sd","effectiveMu_mean","effectiveMu_sd","effectiveSigma2_mean","effectiveSigma2_sd","effectiveLogPost_mean","effectiveLogPost_sd"
"M0. MAP, true x","A - indep",6.195184156696,3.8696872081807,447.5,242.093392157481,8,0,1,0,0.0014362332612048,0.000208521436259373,20.7600962226662,2.42333920509662,0.00902479124129785,0.00122760998815923,0.00252894263434332,0.000685642470946509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M0. MAP, true x","B - corr",8.33685512860616,6.5651932789125,487,314.024806261175,8.05,0.223606797749979,1,0,0.00198769454070438,0.00230037044208076,26.8196024905579,26.7065198479411,0.0193338997748144,0.0237618968747445,0.00233638422276735,0.00054096250508137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1. MAP, CompNMF","A - indep",0.0117024650176366,0.00792176175435852,NA,NA,8.05,0.223606797749979,0.99375,0.0279508497187474,0.00376091705377777,0.00277655457050068,48.3146091203664,30.9246408253205,0.348130015925738,0.033734367125773,0.110037401266157,0.0441625467824443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1. MAP, CompNMF","B - corr",0.0140487438440323,0.00927810466563087,NA,NA,8,0,0.99375,0.0279508497187474,0.00330773555165849,0.0005532423080175,44.4708972900732,8.10729157447813,0.360956556921886,0.0317926053567092,0.134696688714224,0.0797762017607599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M2. MAP, no x","A - indep",2.84307833770911,1.55389820107305,750,400.381397117667,8.1,0.307793505625546,0.987867647058824,0.0321194607898045,0.00411481621817761,0.00303751218491269,66.8680548094561,80.63905278283,0.347341560889505,0.0360762150386993,0.109774018056223,0.0444101908304141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M2. MAP, no x","B - corr",3.45736686329047,2.0562417431564,694,331.938485106408,8.05,0.223606797749979,0.99375,0.0279508497187474,0.00413459330998255,0.00327817302552327,54.5604734949087,30.928626649778,0.360009743321452,0.0329878713634675,0.134372303508519,0.0801578665447294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M3. MAP, all x","A - indep",6.56055463294188,3.8071659163073,442.5,251.246890528022,8.05,0.223606797749979,1,0,0.00187011472896799,0.00192841393416833,31.5325036224753,48.3349081969949,0.0200091822692741,0.0323392652726209,0.00302386072818438,0.000776635284911347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M3. MAP, all x","B - corr",8.28137445171674,6.42731331379788,468.5,317.395237585735,8,0,1,0,0.00147531448171524,0.000201231487824083,20.7564095001298,1.95690205116665,0.0612781525208532,0.0309597684732599,0.0030598755339896,0.000700279955720001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M4. MCMC, all x","A - indep",18.3228814347585,1.8222375339242,NA,NA,8,0,1,0,0.00221734769410017,0.000467497290525835,25.4351624885987,3.6437141057315,0.013915980613106,0.00138850748570097,0.00281674319437593,0.00085554261038152,237.569360792651,19.3755402662035,397.116868946311,37.8306183617412,635.793415436216,49.8768921458437,1402.94340386622,65.4816255231068,1487.94997670846,55.5924425907814,181.286918005606,78.0830132299361
"M4. MCMC, all x","B - corr",19.0763297309478,3.2461876546083,NA,NA,8,0,1,0,0.00232388459128805,0.000440233337140767,25.1424664181872,3.0884588881118,0.0615730835046131,0.0311997080534152,0.00298561397475104,0.000639513193897782,250.730601034856,25.4913277376846,399.62632897545,28.8218652078331,644.718053815154,53.5895739169926,1397.95009636008,75.6797361881428,1410.30578802043,40.0879685074401,158.69851528078,45.4537065604286
