"model","rmse_counts_in","rmse_counts_out","rmse_Betas","sign_Betas","fp_Betas","attribution_acc_in","attribution_acc_out","estim_error_in","estim_error_out","brier_in","brier_out","ece_in","ece_out","mce_in","mce_out","oracle_l2_in","oracle_l2_out","oracle_kl_in","oracle_kl_out","n_mut_in","n_mut_out","Simulation","Scenario"
"map_Fixed",0.293241130623154,0.306094629409662,0.00920485492593293,1,0.0333333333333333,0.800954417819679,0.813201833141264,0.0207760464405744,0.0196178275667998,0.282930551675883,0.267332687864926,0.00267871571344393,0.00234559122602187,0.0226688088565852,0.0717479863415963,0.00232517671093719,0.00256067547464076,0.0103148804697703,0.0108773121563303,137466,37313,"Simulation_01","S0_baseline"
"map_Fixed",0.344252101366865,0.328754935741813,0.00927214213249807,0.975,0.0555555555555556,0.839281563655573,0.816246953696182,0.0193026941362916,0.0231403040501335,0.226258823171612,0.258785808195113,0.00357830413533405,0.00354592186358231,0.196447699737415,0.197180178045341,0.00220364312750286,0.0025263969874591,0.00835020812294472,0.00948359282746958,189300,43085,"Simulation_02","S0_baseline"
"map_Fixed",0.294190880839524,0.288833277565907,0.00883414140937619,1,0.0111111111111111,0.795673441665884,0.784094309137694,0.0198697986286226,0.0207946861348812,0.291038551156571,0.308250695685065,0.00249757114345757,0.00322517249266529,0.824922356235402,0.04049190160508,0.00199351360188049,0.00203002309201963,0.00907510294193353,0.0092475274690763,138401,33422,"Simulation_03","S0_baseline"
"map_Fixed",0.308169050439457,0.323109299487378,0.00865290380374333,1,0.0111111111111111,0.809655614665332,0.804882142771503,0.0192575724858169,0.0198786658034194,0.272371526764248,0.27970075828718,0.00361021281045501,0.00481771167075269,0.0352466090699615,0.0131728158836916,0.00216371712584122,0.00216055669223942,0.00914326955436336,0.00897895163961593,152823,41703,"Simulation_04","S0_baseline"
"map_Fixed",0.348877878605852,0.292289244902354,0.00689484641734616,1,0,0.854777167666965,0.824064974854038,0.0120597624824416,0.0158679692467773,0.211515478867187,0.254397358625723,0.00179275320844971,0.00475927373215855,0.192861480650073,0.0262306050293274,0.00145580888713307,0.00218016205082307,0.00733367183826112,0.010225697062329,195775,34598,"Simulation_05","S0_baseline"
"map_Fixed",0.322941789037611,0.327012741100998,0.0110909795754096,0.975,0.0555555555555556,0.845527382637273,0.828572767532863,0.0176373929522393,0.0194718466621365,0.222084837226386,0.243480437426889,0.00338230720362537,0.00462992104806274,0.187116058846725,0.0450047925080918,0.00225445685737767,0.00267187059769279,0.0103659498095676,0.0126014186343165,166748,42677,"Simulation_06","S0_baseline"
"map_Fixed",0.371423648154574,0.369085029719796,0.0113446091067653,1,0.0666666666666667,0.857233130424109,0.85419224777788,0.015102265339801,0.0151012553834876,0.203825633511461,0.208286379290897,0.00223437145046457,0.00350083740909019,0.196472669072216,0.0232513696591676,0.00162716920853378,0.00174140234882978,0.00621691032757005,0.00661451096548128,219967,54565,"Simulation_07","S0_baseline"
"map_Fixed",0.312432551023952,0.290121021804003,0.00861348526295491,1,0.0111111111111111,0.816757071026521,0.821239517040385,0.019020055073186,0.0192708023553203,0.25841676762903,0.254292282417167,0.00339320611887553,0.00328518206112199,0.807666757716631,0.0113967098396645,0.00216773751362746,0.00209485519874697,0.0108940697246228,0.0103952838917175,156519,33626,"Simulation_08","S0_baseline"
"map_Fixed",0.296402329637268,0.324782103957211,0.0087162230297632,1,0.0444444444444444,0.815995743926228,0.793230594686584,0.0213229295974464,0.0239198260376288,0.260116150665663,0.292263646663645,0.00333745387803706,0.00375018426072079,0.183670822303328,0.0147106980821698,0.00264004530977243,0.00348802659028216,0.0111171292011168,0.014634560404632,140975,42308,"Simulation_09","S0_baseline"
"map_Fixed",0.318157480843351,0.346381126170815,0.00865969222047466,0.975,0.0333333333333333,0.822667299946336,0.827057820654095,0.0162534928046682,0.0183587333929351,0.255032199121071,0.248437249157538,0.00219369997933381,0.00367127303937035,0.198031269685438,0.804241597004866,0.00192499439409361,0.00233695555224546,0.00900619700647681,0.0106072712282037,162119,48097,"Simulation_10","S0_baseline"
