"model","Kest","Sensitivity","Precision","F1","cosine_R","rmse_sig","rmse_theta","rmse_Betas","sign_Betas","fp_Betas","rmse_lambda_in","rmse_lambda_out","rmse_counts_in","rmse_counts_out","time","iter","effectiveBetas","effectiveSigs","effectiveTheta","effectiveMu","effectiveSigma2","effectiveLogPost","effectiveLogLik","effectiveLogPrior","Simulation","Scenario","n","J"
"CompNMF",7,0.875,1,0.933333333333333,0.970594879031433,0.00610332224253337,177.726370890926,0.337976806130465,0,0,0.0517703880160852,0.06116529973927,0.310723763135833,0.333140400566967,0.0211143374443054,9899,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_01","S0_baseline",174779,100
"SignatureAnalyzer",8,0.875,0.875,0.875,0.970207838147074,0.00463085450955734,97.8995404036683,0.337976806130465,0,0,0.0517636089621333,0.0611300407264389,0.31072242989634,0.333140554945149,0.92398822704951,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_01","S0_baseline",174779,100
"PPF_map",8,1,1,1,0.998377363953575,0.00118816583624024,18.3012773204143,0.011992055319741,1,0,0.00237591509882812,0.00325364437543415,0.293238573973137,0.306098341639482,4.5929240266482,240,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_01","S0_baseline",174779,100
"PPF_mcmc",8,1,1,1,0.998289050107552,0.0016089424891963,20.6046465615864,0.0120739266425938,0.975,0,0.00187081131126862,0.00247020109415209,0.29323174068307,0.306071818581175,25.6830837607384,NA,163.297108393197,317.460696871324,442.646003230245,954.343958187421,1778.88270616409,150,150,150,"Simulation_01","S0_baseline",174779,100
"CompNMF",7,1,1,1,0.96911540112757,0.00597945167204046,136.035147793637,0.363268534169348,0,0,0.181890856821182,0.0690683573101407,0.477970670927678,0.350358487324064,0.0254347642262777,11704,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_02","S0_baseline",232385,100
"SignatureAnalyzer",8,0.875,0.875,0.875,0.954213506018679,0.00533066200080148,91.0429680861995,0.363268534169348,0,0,0.181891253642932,0.0691500503110375,0.477970391523912,0.350378047537886,2.18223692973455,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_02","S0_baseline",232385,100
"PPF_map",8,1,1,1,0.997457937669722,0.00118656922774597,30.2749302313116,0.0150483018959234,0.95,0,0.00270049041429082,0.00163047510431168,0.344253909245699,0.32875675458203,11.0742018818855,420,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_02","S0_baseline",232385,100
"PPF_mcmc",8,1,1,1,0.997905720679706,0.0011935095075264,24.9725866601195,0.0141240036157147,0.95,0,0.00250378818878126,0.00133080531387226,0.344249310335902,0.328755637548063,35.6252371072769,NA,177.888032715769,314.564363825247,482.181058562257,1019.44253572761,1511.11173544022,150,116.226758716294,150,"Simulation_02","S0_baseline",232385,100
"CompNMF",8,0.875,0.875,0.875,0.972897365219941,0.00451531601410943,147.526348338492,0.316623125053858,0,0,0.057006572092412,0.0481823845663992,0.313056043727993,0.30568866399633,0.0144372264544169,7349,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_03","S0_baseline",171823,100
"SignatureAnalyzer",8,1,1,1,0.982339002917186,0.00412500043710754,73.6773299554794,0.316623125053858,0,0,0.0570003626838988,0.0482262015546293,0.313054233247752,0.305702228778086,1.88988697528839,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_03","S0_baseline",171823,100
