"Scenario","Model","ECE_in","ECE_out","Brier_in","Brier_out","Accuracy_in","Accuracy_out"
"Sc0","CompressiveNMF","0.0062 (0.0049, 0.0079)","0.0118 (0.0095, 0.0185)","0.3438 (0.3220, 0.3701)","0.3655 (0.3304, 0.3869)","0.7534 (0.7359, 0.7753)","0.7396 (0.7253, 0.7681)"
"Sc0","PPF (MAP)","0.0023 (0.0018, 0.0034)","0.0037 (0.0031, 0.0043)","0.2559 (0.2252, 0.2822)","0.2543 (0.2441, 0.2804)","0.8218 (0.8012, 0.8408)","0.8227 (0.8045, 0.8293)"
"Sc0","PPF (MCMC)","0.0021 (0.0017, 0.0024)","0.0040 (0.0025, 0.0055)","0.2559 (0.2254, 0.2824)","0.2543 (0.2440, 0.2803)","0.8217 (0.8012, 0.8407)","0.8228 (0.8045, 0.8295)"
"Sc1","CompressiveNMF","0.0073 (0.0053, 0.0096)","0.0105 (0.0084, 0.0159)","0.3607 (0.3529, 0.3719)","0.3762 (0.3545, 0.3924)","0.7441 (0.7336, 0.7506)","0.7306 (0.7221, 0.7517)"
"Sc1","PPF (MAP)","0.0023 (0.0020, 0.0028)","0.0036 (0.0030, 0.0044)","0.2711 (0.2562, 0.2810)","0.2688 (0.2502, 0.2945)","0.8086 (0.8026, 0.8208)","0.8124 (0.7924, 0.8251)"
"Sc1","PPF (MCMC)","0.0026 (0.0017, 0.0036)","0.0040 (0.0031, 0.0048)","0.2714 (0.2564, 0.2813)","0.2687 (0.2501, 0.2944)","0.8084 (0.8023, 0.8205)","0.8120 (0.7923, 0.8250)"
"Sc2","CompressiveNMF","0.0053 (0.0039, 0.0068)","0.0079 (0.0044, 0.0105)","0.3611 (0.3369, 0.3776)","0.3639 (0.3460, 0.3800)","0.7391 (0.7275, 0.7615)","0.7386 (0.7297, 0.7550)"
"Sc2","PPF (MAP)","0.0027 (0.0022, 0.0037)","0.0043 (0.0030, 0.0057)","0.2996 (0.2844, 0.3218)","0.3026 (0.2859, 0.3219)","0.7872 (0.7721, 0.8005)","0.7849 (0.7719, 0.7989)"
"Sc2","PPF (MCMC)","0.0029 (0.0023, 0.0037)","0.0043 (0.0035, 0.0049)","0.2999 (0.2844, 0.3220)","0.3027 (0.2857, 0.3218)","0.7872 (0.7720, 0.8004)","0.7847 (0.7720, 0.7990)"
"Sc3","CompressiveNMF","0.0054 (0.0031, 0.0073)","0.0060 (0.0050, 0.0075)","0.3592 (0.3335, 0.3810)","0.3449 (0.3236, 0.3848)","0.7440 (0.7261, 0.7631)","0.7546 (0.7248, 0.7680)"
"Sc3","PPF (MAP)","0.0029 (0.0023, 0.0033)","0.0051 (0.0044, 0.0056)","0.3282 (0.3141, 0.3404)","0.3210 (0.3067, 0.3454)","0.7684 (0.7556, 0.7787)","0.7711 (0.7535, 0.7820)"
"Sc3","PPF (MCMC)","0.0036 (0.0025, 0.0047)","0.0052 (0.0038, 0.0062)","0.3283 (0.3144, 0.3406)","0.3210 (0.3067, 0.3455)","0.7683 (0.7556, 0.7785)","0.7707 (0.7535, 0.7820)"
"Sc4","CompressiveNMF","0.0062 (0.0037, 0.0097)","0.0086 (0.0054, 0.0122)","0.3461 (0.3263, 0.3687)","0.3568 (0.3162, 0.3842)","0.7527 (0.7363, 0.7702)","0.7459 (0.7248, 0.7782)"
"Sc4","PPF (MAP)","0.0028 (0.0023, 0.0036)","0.0050 (0.0040, 0.0064)","0.3265 (0.3050, 0.3432)","0.3265 (0.2945, 0.3507)","0.7692 (0.7563, 0.7855)","0.7697 (0.7516, 0.7946)"
"Sc4","PPF (MCMC)","0.0030 (0.0027, 0.0039)","0.0050 (0.0044, 0.0063)","0.3261 (0.3051, 0.3432)","0.3265 (0.2945, 0.3506)","0.7694 (0.7562, 0.7854)","0.7694 (0.7517, 0.7942)"
"Sc5","CompressiveNMF","0.0059 (0.0039, 0.0078)","0.0073 (0.0050, 0.0110)","0.3527 (0.3354, 0.3714)","0.3578 (0.3318, 0.3690)","0.7483 (0.7343, 0.7615)","0.7467 (0.7352, 0.7634)"
"Sc5","PPF (MAP)","0.0033 (0.0027, 0.0041)","0.0045 (0.0034, 0.0057)","0.3248 (0.3128, 0.3542)","0.3267 (0.3096, 0.3503)","0.7691 (0.7481, 0.7787)","0.7670 (0.7519, 0.7829)"
"Sc5","PPF (MCMC)","0.0031 (0.0027, 0.0045)","0.0059 (0.0050, 0.0062)","0.3247 (0.3125, 0.3543)","0.3264 (0.3100, 0.3502)","0.7690 (0.7480, 0.7788)","0.7673 (0.7513, 0.7829)"
"Sc6","CompressiveNMF","0.0318 (0.0216, 0.0430)","0.0310 (0.0232, 0.0398)","0.4106 (0.3799, 0.4320)","0.4117 (0.3953, 0.4314)","0.7069 (0.6978, 0.7307)","0.7060 (0.6940, 0.7231)"
"Sc6","PPF (MAP)","0.0174 (0.0137, 0.0204)","0.0175 (0.0133, 0.0197)","0.3643 (0.3421, 0.3738)","0.3671 (0.3529, 0.3803)","0.7414 (0.7347, 0.7565)","0.7397 (0.7315, 0.7502)"
"Sc6","PPF (MCMC)","0.0115 (0.0082, 0.0135)","0.0112 (0.0075, 0.0130)","0.3628 (0.3425, 0.3722)","0.3650 (0.3515, 0.3797)","0.7417 (0.7349, 0.7558)","0.7401 (0.7318, 0.7505)"
