"Scenario","Model","Kest","F1","cosine","rmse_sig","rmse_theta","rmse_Betas","rmse_lambda_in","rmse_lambda_out"
"Sc0","CompressiveNMF",7,"0.9333 (0.9187, 0.9333)","0.9644 (0.9596, 0.9708)","0.0059 (0.0055, 0.0061)","121.6530 (115.6309, 145.6773)",NA,"0.0970 (0.0831, 0.1829)","0.0727 (0.0585, 0.0913)"
"Sc0","SignatureAnalyzer",8,"0.8750 (0.8750, 0.8896)","0.9621 (0.9599, 0.9674)","0.0053 (0.0048, 0.0056)","91.4195 (82.1413, 98.2041)",NA,"0.0970 (0.0831, 0.1829)","0.0729 (0.0586, 0.0913)"
"Sc0","PPF (MAP)",8,"1.0000 (1.0000, 1.0000)","0.9978 (0.9970, 0.9983)","0.0013 (0.0012, 0.0015)","21.2261 (19.5594, 23.7930)","0.0128 (0.0111, 0.0148)","0.0024 (0.0021, 0.0030)","0.0025 (0.0020, 0.0036)"
"Sc0","PPF (MCMC)",8,"1.0000 (1.0000, 1.0000)","0.9979 (0.9970, 0.9982)","0.0018 (0.0015, 0.0021)","23.2027 (21.5323, 24.9708)","0.0125 (0.0115, 0.0139)","0.0020 (0.0018, 0.0027)","0.0022 (0.0018, 0.0027)"
"Sc1","CompressiveNMF",7,"0.9333 (0.8750, 0.9333)","0.9699 (0.9672, 0.9734)","0.0057 (0.0053, 0.0062)","138.5525 (121.0311, 157.6556)",NA,"0.0891 (0.0731, 0.1199)","0.0918 (0.0544, 0.1199)"
"Sc1","SignatureAnalyzer",8,"0.8750 (0.8750, 0.8750)","0.9636 (0.9599, 0.9675)","0.0050 (0.0047, 0.0057)","91.1063 (87.2408, 107.2656)",NA,"0.0890 (0.0731, 0.1199)","0.0918 (0.0545, 0.1199)"
"Sc1","PPF (MAP)",8,"1.0000 (1.0000, 1.0000)","0.9980 (0.9965, 0.9982)","0.0014 (0.0012, 0.0017)","28.0396 (24.6293, 41.2589)","0.0429 (0.0409, 0.0463)","0.0177 (0.0123, 0.0260)","0.0175 (0.0083, 0.0221)"
"Sc1","PPF (MCMC)",8,"1.0000 (1.0000, 1.0000)","0.9979 (0.9972, 0.9981)","0.0019 (0.0017, 0.0024)","29.2880 (27.4169, 32.5828)","0.0404 (0.0386, 0.0428)","0.0171 (0.0119, 0.0256)","0.0163 (0.0081, 0.0214)"
"Sc2","CompressiveNMF",7,"0.9333 (0.9333, 1.0000)","0.9696 (0.9656, 0.9746)","0.0057 (0.0054, 0.0059)","151.3107 (124.0079, 186.6937)",NA,"0.0975 (0.0654, 0.1200)","0.0771 (0.0497, 0.1175)"
"Sc2","SignatureAnalyzer",8,"0.8750 (0.8750, 0.9333)","0.9645 (0.9600, 0.9670)","0.0055 (0.0051, 0.0059)","103.8909 (87.6100, 126.4898)",NA,"0.0975 (0.0654, 0.1200)","0.0771 (0.0498, 0.1176)"
"Sc2","PPF (MAP)",8,"1.0000 (1.0000, 1.0000)","0.9971 (0.9945, 0.9974)","0.0018 (0.0015, 0.0021)","43.2989 (34.9071, 55.1305)","0.1069 (0.0992, 0.1126)","0.0447 (0.0287, 0.0646)","0.0334 (0.0188, 0.0452)"
"Sc2","PPF (MCMC)",8,"1.0000 (1.0000, 1.0000)","0.9967 (0.9960, 0.9971)","0.0026 (0.0021, 0.0032)","43.7447 (34.5329, 55.0616)","0.1041 (0.0964, 0.1110)","0.0444 (0.0284, 0.0640)","0.0331 (0.0186, 0.0465)"
"Sc3","CompressiveNMF",7,"0.9333 (0.8750, 0.9333)","0.9651 (0.9610, 0.9723)","0.0057 (0.0053, 0.0060)","132.1485 (119.7388, 151.5023)",NA,"0.0755 (0.0627, 0.1208)","0.0828 (0.0626, 0.1205)"
"Sc3","SignatureAnalyzer",8,"0.8750 (0.8000, 0.8750)","0.9620 (0.9575, 0.9708)","0.0054 (0.0045, 0.0059)","111.7856 (86.1357, 128.5823)",NA,"0.0755 (0.0627, 0.1208)","0.0828 (0.0626, 0.1205)"
"Sc3","PPF (MAP)",8,"1.0000 (1.0000, 1.0000)","0.9919 (0.9879, 0.9955)","0.0028 (0.0023, 0.0035)","58.4521 (50.3031, 80.2607)","0.1956 (0.1755, 0.2137)","0.0570 (0.0458, 0.0923)","0.0633 (0.0460, 0.0920)"
"Sc3","PPF (MCMC)",8,"1.0000 (1.0000, 1.0000)","0.9931 (0.9914, 0.9952)","0.0033 (0.0028, 0.0047)","56.2376 (51.1238, 78.4312)","0.1946 (0.1745, 0.2121)","0.0568 (0.0457, 0.0922)","0.0632 (0.0458, 0.0918)"
"Sc4","CompressiveNMF",7,"0.9333 (0.8562, 0.9333)","0.9678 (0.9624, 0.9755)","0.0058 (0.0055, 0.0062)","159.4508 (134.9618, 181.7941)",NA,"0.0801 (0.0554, 0.1463)","0.0922 (0.0595, 0.1359)"
"Sc4","SignatureAnalyzer",8,"0.8750 (0.8750, 0.8750)","0.9635 (0.9578, 0.9709)","0.0051 (0.0045, 0.0058)","108.0810 (103.2381, 125.1498)",NA,"0.0802 (0.0555, 0.1463)","0.0922 (0.0596, 0.1358)"
"Sc4","PPF (MAP)",8,"1.0000 (0.9868, 1.0000)","0.9927 (0.9842, 0.9962)","0.0027 (0.0024, 0.0051)","82.0785 (66.0169, 110.5072)","0.2099 (0.1979, 0.2313)","0.0592 (0.0407, 0.1137)","0.0633 (0.0448, 0.1029)"
"Sc4","PPF (MCMC)",8,"1.0000 (0.9833, 1.0000)","0.9938 (0.9815, 0.9960)","0.0040 (0.0032, 0.0054)","82.4944 (66.1029, 113.4158)","0.2107 (0.1997, 0.2303)","0.0591 (0.0406, 0.1135)","0.0630 (0.0448, 0.1024)"
"Sc5","CompressiveNMF",7,"0.9333 (0.9000, 0.9333)","0.9667 (0.9623, 0.9696)","0.0058 (0.0056, 0.0061)","132.3002 (119.5154, 151.6326)",NA,"0.0699 (0.0572, 0.1101)","0.0666 (0.0557, 0.1097)"
"Sc5","SignatureAnalyzer",8,"0.8750 (0.8750, 0.8750)","0.9631 (0.9589, 0.9658)","0.0053 (0.0048, 0.0056)","105.7629 (90.2634, 116.4546)",NA,"0.0700 (0.0572, 0.1101)","0.0667 (0.0558, 0.1097)"
"Sc5","PPF (MAP)",8,"1.0000 (1.0000, 1.0000)","0.9881 (0.9816, 0.9947)","0.0033 (0.0028, 0.0045)","66.5569 (60.4464, 99.1768)","0.2022 (0.1827, 0.2099)","0.0504 (0.0409, 0.0859)","0.0505 (0.0338, 0.0833)"
"Sc5","PPF (MCMC)",8,"1.0000 (1.0000, 1.0000)","0.9914 (0.9871, 0.9950)","0.0039 (0.0032, 0.0047)","67.8877 (62.5862, 83.0407)","0.2014 (0.1815, 0.2093)","0.0503 (0.0408, 0.0857)","0.0504 (0.0340, 0.0831)"
"Sc6","CompressiveNMF",7,"0.8000 (0.8000, 0.9333)","0.9330 (0.9292, 0.9399)","0.0093 (0.0084, 0.0100)","171.1907 (154.5805, 209.6073)",NA,"0.0764 (0.0589, 0.0862)","0.0577 (0.0453, 0.0731)"
"Sc6","SignatureAnalyzer",8,"0.7500 (0.6250, 0.7500)","0.9257 (0.9189, 0.9292)","0.0108 (0.0098, 0.0109)","135.5016 (126.0045, 154.4811)",NA,"0.0764 (0.0589, 0.0862)","0.0577 (0.0454, 0.0732)"
"Sc6","PPF (MAP)",8,"0.9333 (0.8750, 1.0000)","0.9482 (0.9441, 0.9584)","0.0083 (0.0073, 0.0096)","117.3671 (101.1614, 146.3489)","0.1904 (0.1791, 0.2005)","0.0544 (0.0449, 0.0642)","0.0378 (0.0307, 0.0501)"
"Sc6","PPF (MCMC)",8,"0.9333 (0.9187, 1.0000)","0.9497 (0.9400, 0.9546)","0.0107 (0.0100, 0.0111)","116.1620 (96.6890, 139.0035)","0.1908 (0.1803, 0.1999)","0.0543 (0.0449, 0.0641)","0.0377 (0.0308, 0.0499)"
