"chrom","start","end","observed","expected","resid","contrib_share","padj","usable_frac","class"
"chr14",107000001,107290000,89,11.1526205330207,23.3107117937874,0.0310423380078497,1.16966000519219e-45,0.991127819548872,""
"chr6",126000001,127000000,574,231.094304075975,22.5569345017629,0.0290672208652866,1.11873757403427e-76,1,""
"chr14",106000001,107000000,250,89.1532086316946,17.0350696200918,0.0165779635048303,1.79647820491656e-41,0.997300469483568,"IGH"
"chr9",39000001,39976000,7,175.220494175727,-12.7082706073246,0.00922605972461315,2.44100096398122e-61,0.996547413793103,""
"chr2",243000001,243054000,8,0.431576636266448,11.5206359925802,0.00758221793663278,7.2808509222095e-07,0.964814814814815,""
"chr9",40024001,40816000,5,137.976012101411,-11.3206538246373,0.00732126916909307,1.00396408626372e-48,0.991672413793103,""
"chr13",21000001,22000000,319,174.204432468629,10.9704809333891,0.00687534803802197,2.62117919326327e-20,0.995242914979757,""
"chrX",91000001,92000000,71,215.733386932356,-9.85394296738578,0.0055470673930023,1.85204188582713e-27,1,""
"chr4",180000001,181000000,420,262.495882772288,9.72144140755634,0.00539889249295481,7.34909329547442e-17,1,""
"chrX",290001,1000000,247,135.927603464516,9.52691548405274,0.00518499066207855,2.124445616529e-15,0.994618055555556,""
"chr10",46000001,47000000,58,184.65953414333,-9.3207748745889,0.00496303560341719,8.48020790929771e-25,0.997899159663866,""
"chr7",74000001,75000000,45,159.271063102737,-9.0545699535309,0.00468359151225865,6.23051016725964e-24,0.997899159663866,""
"chr4",181000001,182000000,360,225.207313407627,8.98204206390422,0.00460886007105405,2.16891191964223e-14,1,""
"chrX",87000001,88000000,430,280.577821822804,8.92048348003538,0.00454590274471855,2.16891191964223e-14,1,""
"chr7",159000001,159130000,27,6.00074528389304,8.57237745082794,0.00419803373375012,1.80915932554057e-08,0.989715384615385,""
"chr10",48000001,49000000,89,212.321568242003,-8.46334378006659,0.00409192173091862,4.0850298259726e-19,0.997899159663866,""
"chrX",118000001,119000000,332,209.962452775827,8.42214378635688,0.00405217932922058,1.17598431742841e-12,1,""
"chr9",44102001,44908000,37,134.491580682829,-8.40658411756605,0.00403722059002435,1.37693000519533e-20,0.992486338797814,""
"chr16",61000001,62000000,354,229.007026450525,8.25964146966589,0.0038973171249314,2.5167271729584e-12,1,""
"chrX",127000001,128000000,397,263.711424175604,8.20783194143553,0.00384857774921407,3.02485627518814e-12,1,""
"chr21",14370001,15000000,37,123.565205018513,-7.78744988598724,0.00346444669385766,2.46399536422532e-17,0.99968253968254,""
"chr10",51000001,52000000,64,161.723523296554,-7.68444522682266,0.00337340428593364,6.37721742329627e-16,0.995575221238938,""
"chrX",89000001,90000000,104,214.484712263824,-7.54404061199832,0.0032512576642441,1.37791336225796e-14,1,""
"chr4",133000001,134000000,331,220.696642032917,7.42490448553261,0.0031493802239419,4.40543793042309e-10,1,""
"chr1",247000001,248000000,366,537.136325055537,-7.38414030478414,0.00311489372407231,9.22895144679676e-13,1,""
