"sample","chrom","start","end","observed","expected","log2fc","p_val","padj","class"
"DO1020","chr6",126000001,127000000,363,5.46448720731634,5.92941344538096,0,0,""
"DO1020","chr6",130000001,131000000,165,8.10892522514242,4.26485427013087,5.55537570876781e-150,8.99890311872608e-145,""
"DO220823","chr13",21000001,22000000,118,5.01722782724645,4.42479969285136,6.66517845867989e-115,7.19774843478994e-110,""
"DO218796","chr11",17000001,18000000,90,3.0671246002423,4.66508427682597,2.07367667238614e-96,1.67952776307403e-91,""
"DO218404","chr22",49000001,50000000,2,153.631233999195,-5.94608734200755,3.77218731046628e-63,2.44415859031814e-58,""
"DO220823","chr1",153000001,154000000,90,8.09524764429733,3.39630668018351,1.24014506271969e-60,6.69618393523934e-56,""
"DO1020","chr6",132000001,133000000,93,8.84700037919157,3.3223910074417,1.54689075940355e-60,7.15925351735326e-56,""
"DO1076","chr10",37000001,38000000,134,22.6388932519099,2.53921440660182,3.15314120265105e-57,1.27690788570508e-52,""
"DO1016","chr2",145000001,146000000,57,3.12288703967911,3.9883502271668,1.77715162903999e-50,6.39717322679684e-46,""
"DO218174","chr1",56000001,57000000,34,0.631733039646895,4.92999077051551,3.03057937657956e-46,9.81819831209857e-42,""
"DO220822","chr8",26000001,27000000,31,0.521901018697571,4.94602445985621,1.29029748573558e-43,3.80017242501128e-39,""
"DO218669","chr2",62000001,63000000,44,1.94105999683734,4.18822567657819,2.66227728571517e-43,7.18750528775357e-39,""
"DO218709","chr10",69000001,70000000,46,2.92222452503289,3.76422439595476,2.76049970002401e-38,6.87939883320369e-34,""
"DO1018","chr6",158000001,159000000,34,1.20530935501625,4.33849097884019,6.01077411919083e-37,1.39094035869169e-32,""
"DO1016","chr1",58000001,59000000,46,3.16409225405182,3.66570298322243,8.45208449326009e-37,1.82548684357731e-32,""
"DO218404","chr22",50000001,51000000,4,96.5891327516415,-4.43131291635302,7.0355117828606e-36,1.42456361737821e-31,""
"DO1018","chr3",73000001,74000000,44,2.98229534149026,3.67569486449832,1.54941505755986e-35,2.95273850360428e-31,""
"DO1020","chr6",131000001,132000000,61,7.67743878754118,2.91086545032697,1.03681002152069e-33,1.86609099712267e-29,""
"DO217931","chr20",1000001,2000000,33,1.40914734423135,4.13316073905763,2.41685681432235e-33,4.12100799469908e-29,""
"DO217800","chr17",21000001,22000000,23,0.374584582981405,4.74791902948856,4.20049681657397e-33,6.80419577081143e-29,""
"DO1006","chr1",247000001,248000000,4,87.3272735623312,-4.28667211205632,5.4582886437114e-32,8.42060585805631e-28,""
"DO218651","chr15",66000001,67000000,24,0.558305262128593,4.53295401946334,7.93499670345628e-31,1.16850400773429e-26,""
"DO218651","chr15",95000001,96000000,40,3.01332109304508,3.52701456803378,9.43171426220002e-31,1.32852256575617e-26,""
"DO218742","chr6",162000001,163000000,31,1.48803550971303,3.98593639736965,6.46239439909201e-30,8.72345156611765e-26,""
"DO218173","chr2",100000001,101000000,72,13.0860933469985,2.41585032336074,1.06078132224147e-29,1.37464954299156e-25,""
"DO52548","chr12",32000001,33000000,25,0.790542141486781,4.30444808986829,8.46342156297473e-29,1.05457813353019e-24,""
"DO220822","chr8",18000001,19000000,23,0.591027932915602,4.4289008131115,1.22638668366215e-28,1.47153229738041e-24,""
"DO218502","chr11",95000001,96000000,27,1.12304864085673,4.08265347711921,7.14161947849884e-28,8.26313430024553e-24,""
"DO217987","chr15",60000001,61000000,26,1.06247230568419,4.08408983586442,4.31144159038194e-27,4.81648980509527e-23,""
"DO1016","chr19",42000001,43000000,37,3.09881447015105,3.38129696164038,5.32792161876154e-27,5.75364031583932e-23,""
